locality,state,location,lon,lat
Dunstable,MA,"Dunstable, MA",-71.4828433,42.67508979999999
E. Cambridge,MA,"E. Cambridge, MA",-71.08246129999999,42.3683353
East Attleboro,MA,"East Attleboro, MA",-71.2856082,41.94454409999999
East Boston,MA,"East Boston, MA",-71.0388601,42.37021370000001
East Bridgewater,MA,"East Bridgewater, MA",-70.9592096,42.0334341
East Cambridge,MA,"East Cambridge, MA",-71.08246129999999,42.3683353
East Dennis,MA,"East Dennis, MA",-70.1619638,41.7426094
East Hampton,MA,"East Hampton, MA",-72.66897999999999,42.266757
East Sudbury,MA,"East Sudbury, MA",-71.4161725,42.3834278
East Walpole,MA,"East Walpole, MA",-71.21010679999999,42.1614952
Easthampton,MA,"Easthampton, MA",-72.66897999999999,42.266757
Easton,MA,"Easton, MA",-71.1286594,42.0245442
Edgartown,MA,"Edgartown, MA",-70.5133599,41.3890052
Erving,MA,"Erving, MA",-72.3981416,42.6000863
Essex,MA,"Essex, MA",-70.7829315,42.63195820000001
Fairhaven,MA,"Fairhaven, MA",-70.90364869999999,41.6376043
Fall River,MA,"Fall River, MA",-71.1550451,41.7014912
Falmouth,MA,"Falmouth, MA",-70.60858859999999,41.5532208
Fells,MA,"Fells, MA",-71.0913224,42.4555047
Fitchburg,MA,"Fitchburg, MA",-71.8022955,42.5834228
Fitchburg (Worcester County),MA,"Fitchburg (Worcester County), MA",-71.8022955,42.5834228
Fort Independence,MA,"Fort Independence, MA",-71.01182969999999,42.3385285
Foxboro,MA,"Foxboro, MA",-71.2478251,42.0653812
Framingham,MA,"Framingham, MA",-71.4161565,42.279286
Franingham,MA,"Franingham, MA",-71.4161565,42.279286
Franklin,MA,"Franklin, MA",-71.396725,42.0834313
Freetown,MA,"Freetown, MA",-71.014118,41.7619708
Gardner,MA,"Gardner, MA",-71.998133,42.5750883
Georgetown,MA,"Georgetown, MA",-70.99116590000001,42.7250918
Gill,MA,"Gill, MA",-72.4996367,42.6408105
Globe Village,MA,"Globe Village, MA",-71.18560149999999,41.6820467
Gloucester,MA,"Gloucester, MA",-70.6619888,42.6159285
Gloucester?,MA,"Gloucester?, MA",-70.6619888,42.6159285
Glouchester,MA,"Glouchester, MA",-70.6619888,42.6159285
Goshen,MA,"Goshen, MA",-72.7993986,42.4407187
Grafton,MA,"Grafton, MA",-71.6856236,42.2070391
Great Barrington,MA,"Great Barrington, MA",-73.362008,42.1959798
Greenfield,MA,"Greenfield, MA",-72.5994104,42.587915
Groton,MA,"Groton, MA",-71.5745152,42.6112018
Groton Centre,MA,"Groton Centre, MA",-71.5745152,42.6112018
Hadley,MA,"Hadley, MA",-72.58842220000001,42.3417565
Hardwick,MA,"Hardwick, MA",-72.1986558,42.3490548
Harvard,MA,"Harvard, MA",-71.5828444,42.5000919
Hatfield,MA,"Hatfield, MA",-72.5981843,42.3709761
Hathorne,MA,"Hathorne, MA",-70.97449639999999,42.5862053
Havenhill,MA,"Havenhill, MA",-71.0772796,42.7762015
Haverhill,MA,"Haverhill, MA",-71.0772796,42.7762015
Hingham,MA,"Hingham, MA",-70.889759,42.2418172
Hingham Centre (Plymouth County),MA,"Hingham Centre (Plymouth County), MA",-70.8802164,42.28998050000001
Hinsdale,MA,"Hinsdale, MA",-73.1253799,42.4386967
Holbrook,MA,"Holbrook, MA",-71.014118,42.144846
Holden,MA,"Holden, MA",-71.8634062,42.3517585
Holland,MA,"Holland, MA",-72.15728849999999,42.0639524
Holliston,MA,"Holliston, MA",-71.4245049,42.20009659999999
Holyoke,MA,"Holyoke, MA",-72.6162009,42.2042586
Hopkinton,MA,"Hopkinton, MA",-71.5225646,42.22869540000001
Housatonic,MA,"Housatonic, MA",-73.3662214,42.2542548
Hubbardston,MA,"Hubbardston, MA",-72.0061877,42.4737009
Hudson,MA,"Hudson, MA",-71.56613899999999,42.39173599999999
Hyde Park,MA,"Hyde Park, MA",-71.1240559,42.2565289
Ipowich?,MA,"Ipowich?, MA",-70.8411558,42.6791832
Ipswich,MA,"Ipswich, MA",-70.8411558,42.6791832
Iswich,MA,"Iswich, MA",-70.8411558,42.6791832
Jamaica Plain,MA,"Jamaica Plain, MA",-71.1151431,42.3097365
Kingston,MA,"Kingston, MA",-70.7284785,41.9932752
Lakeville,MA,"Lakeville, MA",-70.9495226,41.8459169
Lancaster,MA,"Lancaster, MA",-71.6731242,42.4556452
Lanesborough,MA,"Lanesborough, MA",-73.2281596,42.5173058
Lawrence,MA,"Lawrence, MA",-71.1631137,42.7070354
Lechmere Point,MA,"Lechmere Point, MA",-71.0774009,42.37151679999999
Lee,MA,"Lee, MA",-73.2481951,42.3042151
Leicester,MA,"Leicester, MA",-71.90868429999999,42.245926
Lennox,MA,"Lennox, MA",-73.2848762,42.35646089999999
Lenox,MA,"Lenox, MA",-73.2848762,42.35646089999999
Leominster,MA,"Leominster, MA",-71.759794,42.5250906
Lexington,MA,"Lexington, MA",-71.2289641,42.4430372
Lincoln,MA,"Lincoln, MA",-71.3039469,42.4259283
Littleton,MA,"Littleton, MA",-71.5128022,42.5372893
Longmeadow,MA,"Longmeadow, MA",-72.5828642,42.0501022
Lowell,MA,"Lowell, MA",-71.31617179999999,42.6334247
Ludburg,MA,"Ludburg, MA",-71.4270342,42.1469235
Lunenburg,MA,"Lunenburg, MA",-71.7245035,42.5945273
Lynn,MA,"Lynn, MA",-70.9494938,42.46676300000001
Malden,MA,"Malden, MA",-71.066163,42.4250964
Manchester,MA,"Manchester, MA",-70.7675967,42.577834
Marblehead,MA,"Marblehead, MA",-70.8578024,42.49995819999999
Marion,MA,"Marion, MA",-70.7525299,41.697719
Marlboro,MA,"Marlboro, MA",-71.5522874,42.3459271
Marlborough,MA,"Marlborough, MA",-71.5522874,42.3459271
Medfield,MA,"Medfield, MA",-71.30645969999999,42.18758260000001
Medford,MA,"Medford, MA",-71.1061639,42.4184296
Medway,MA,"Medway, MA",-71.3967256,42.1417641
Melrose,MA,"Melrose, MA",-71.0661633,42.4584292
Methuen,MA,"Methuen, MA",-71.1908924,42.7262016
Middleborough,MA,"Middleborough, MA",-70.9107708,41.8929942
Middlefield,MA,"Middlefield, MA",-73.01510110000001,42.3484207
Middlesex,MA,"Middlesex, MA",-71.2874209,42.467206
Middleton,MA,"Middleton, MA",-71.0161643,42.59509389999999
Milford,MA,"Milford, MA",-71.5163049,42.1398577
Millbury,MA,"Millbury, MA",-71.761522,42.19207189999999
Milton,MA,"Milton, MA",-71.0661653,42.2495321
Monson,MA,"Monson, MA",-72.3189519,42.1042451
Montague,MA,"Montague, MA",-72.5353437,42.5355277
Nahant,MA,"Nahant, MA",-70.922279,42.4265633
Nantucket,MA,"Nantucket, MA",-70.099451,41.2834704
Natick,MA,"Natick, MA",-71.3468091,42.2775281
Needham,MA,"Needham, MA",-71.23775479999999,42.2809285
New Bedford,MA,"New Bedford, MA",-70.93420499999999,41.6362152
New Boston,MA,"New Boston, MA",-73.076407,42.0936945
Newbury,MA,"Newbury, MA",-70.8714528,42.7649497
Newburyport,MA,"Newburyport, MA",-70.87727509999999,42.8125913
Newton,MA,"Newton, MA",-71.20922139999999,42.3370413
Newton Centre,MA,"Newton Centre, MA",-71.1948255,42.3300503
Newton Lower Falls,MA,"Newton Lower Falls, MA",-71.25923399999999,42.3306044
Norfolk,MA,"Norfolk, MA",-71.3250563,42.1195426
North Adams,MA,"North Adams, MA",-73.1087148,42.70091499999999
North Amherst,MA,"North Amherst, MA",-72.53092099999999,42.410367
North Andover,MA,"North Andover, MA",-71.1350575,42.69870239999999
North Attleborough,MA,"North Attleborough, MA",-71.35654389999999,41.9695516
North Bridgewater,MA,"North Bridgewater, MA",-70.9750541,41.9903519
North Brookfield,MA,"North Brookfield, MA",-72.08503999999999,42.2685574
North Chelmsford,MA,"North Chelmsford, MA",-71.383617,42.63960549999999
North Danvers,MA,"North Danvers, MA",-70.9635406,42.5976627
North Reading,MA,"North Reading, MA",-71.0786653,42.5750939
North Woburn,MA,"North Woburn, MA",-71.1522765,42.4792618
North Wrentham,MA,"North Wrentham, MA",-71.3281114,42.0667652
Northampton,MA,"Northampton, MA",-72.64120129999999,42.3250896
Northborough,MA,"Northborough, MA",-71.6411997,42.3195556
Northbridge,MA,"Northbridge, MA",-71.6494407,42.1516323
Northfield,MA,"Northfield, MA",-72.4528885,42.6959093
Northhampton,MA,"Northhampton, MA",-72.64120129999999,42.3250896
Norton,MA,"Norton, MA",-71.1869963,41.9667703
Norwook,MA,"Norwook, MA",-71.19896949999999,42.19439089999999
Oakham,MA,"Oakham, MA",-72.0449783,42.35271050000001
Orange,MA,"Orange, MA",-72.3097914,42.590354
Orleans,MA,"Orleans, MA",-69.9897323,41.7898354
Oxford,MA,"Oxford, MA",-71.8647577,42.1167606
Palmer,MA,"Palmer, MA",-72.3286869,42.1584103
Paxton,MA,"Paxton, MA",-71.9278427,42.3114889
Peabody,MA,"Peabody, MA",-70.9286609,42.5278731
Pepperell,MA,"Pepperell, MA",-71.5884363,42.66592319999999
Phillipston,MA,"Phillipston, MA",-72.1328582,42.5486993
Pittsfield,MA,"Pittsfield, MA",-73.2453824,42.4500845
Plainfield,MA,"Plainfield, MA",-72.9162075,42.5153633
Plymouth,MA,"Plymouth, MA",-70.6672621,41.9584457
Princeton,MA,"Princeton, MA",-71.877296,42.4487019
Provincetown,MA,"Provincetown, MA",-70.1786425,42.0584412
Quincy,MA,"Quincy, MA",-71.0022705,42.2528772
Randolph,MA,"Randolph, MA",-71.042551,42.1619739
Reading,MA,"Reading, MA",-71.0952891,42.5256563
Readville,MA,"Readville, MA",-71.1299976,42.2384918
Revere,MA,"Revere, MA",-71.0119948,42.4084302
Rhees,MA,"Rhees, MA",-71.0674787,42.3623996
Richmond,MA,"Richmond, MA",-73.3676804,42.3729519
Rockland,MA,"Rockland, MA",-70.9161551,42.1306563
Rockport,MA,"Rockport, MA",-70.620363,42.6556505
Rowe,MA,"Rowe, MA",-72.899542,42.6934166
Rowley,MA,"Rowley, MA",-70.8787277,42.7167483
Roxbury,MA,"Roxbury, MA",-71.0913748,42.3151978
Royalston,MA,"Royalston, MA",-72.18786039999999,42.6775856
Ruthland,MA,"Ruthland, MA",-71.9481211,42.3695086
Rutland,MA,"Rutland, MA",-71.9481211,42.3695086
Salem,MA,"Salem, MA",-70.8967155,42.51954
Salisbury,MA,"Salisbury, MA",-70.8605982,42.84172299999999
Sandisfield,MA,"Sandisfield, MA",-73.1431637,42.1125914
Sandwich,MA,"Sandwich, MA",-70.49393169999999,41.7589615
Saugus,MA,"Saugus, MA",-71.0110473,42.4651421
Saultborough,MA,"Saultborough, MA",-71.5245087,42.3056501
Scituate,MA,"Scituate, MA",-70.7258633,42.195929
Sheffield,MA,"Sheffield, MA",-73.35514359999999,42.1099885
Shelburne,MA,"Shelburne, MA",-72.6884244,42.5898074
Shelburne Centre,MA,"Shelburne Centre, MA",-72.6906022,42.5860198
Sherborn,MA,"Sherborn, MA",-71.3697813,42.23898570000001
Shirley,MA,"Shirley, MA",-71.6495176,42.5437035
Shrewsbury,MA,"Shrewsbury, MA",-71.71284709999999,42.2959267
Somerville,MA,"Somerville, MA",-71.0994968,42.3875968
South Boston,MA,"South Boston, MA",-71.0475773,42.3381437
South Chatham,MA,"South Chatham, MA",-70.02419309999999,41.6795364
South Danvers,MA,"South Danvers, MA",-70.93212199999999,42.5750009
South Dedham,MA,"South Dedham, MA",-71.1676536,42.2436085
South Dennis,MA,"South Dennis, MA",-70.1515342,41.7020781
South Farmington,MA,"South Farmington, MA",-71.4161565,42.279286
South Gardner,MA,"South Gardner, MA",-71.998133,42.5750883
South Hadley,MA,"South Hadley, MA",-72.57479339999999,42.2591729
South Natick,MA,"South Natick, MA",-71.3161688,42.2737081
South Reading,MA,"South Reading, MA",-71.0723391,42.5039395
South Scituate,MA,"South Scituate, MA",-70.7258633,42.195929
South Sudbury,MA,"South Sudbury, MA",-71.4161725,42.3834278
South Yarmouth,MA,"South Yarmouth, MA",-70.1847413,41.6667779
Southborough,MA,"Southborough, MA",-71.5245087,42.3056501
Southbridge,MA,"Southbridge, MA",-72.0333905,42.0751065
Spencer,MA,"Spencer, MA",-71.9922867,42.2439682
Springboro,MA,"Springboro, MA",NA,NA
Springfield,MA,"Springfield, MA",-72.589811,42.1014831
Sterling,MA,"Sterling, MA",-71.76062929999999,42.4374156
Stockbridge,MA,"Stockbridge, MA",-73.3203862,42.2875874
Stoneham,MA,"Stoneham, MA",-71.0999719,42.4802469
Stoughton,MA,"Stoughton, MA",-71.10920120000002,42.1229099
Stow,MA,"Stow, MA",-71.5056199,42.4370374
Sturbridge,MA,"Sturbridge, MA",-72.0787059,42.1084122
Sunderland,MA,"Sunderland, MA",-72.5795115,42.4663727
Sutton,MA,"Sutton, MA",-71.7632878,42.1500353
Swampscott,MA,"Swampscott, MA",-70.91755619999999,42.47094370000001
Swansea,MA,"Swansea, MA",-71.1895617,41.748162
Tannton,MA,"Tannton, MA",-71.0897674,41.900101
Taunton,MA,"Taunton, MA",-71.0897674,41.900101
Templeton,MA,"Templeton, MA",-72.06757900000001,42.555644
Tewksbury,MA,"Tewksbury, MA",-71.23422479999999,42.6106478
Topsfield,MA,"Topsfield, MA",-70.9495053,42.6375941
Townsend,MA,"Townsend, MA",-71.70512649999999,42.6667718
Tyngsborough,MA,"Tyngsborough, MA",-71.4244224,42.6766696
Upton,MA,"Upton, MA",-71.6022583,42.1744878
Uxbridge,MA,"Uxbridge, MA",-71.6302532,42.07724289999999
Vineyard Haven,MA,"Vineyard Haven, MA",-70.6036395,41.4542786
Wakefield,MA,"Wakefield, MA",-71.0723391,42.5039395
Wales,MA,"Wales, MA",-72.22230069999999,42.0695393
Walpole,MA,"Walpole, MA",-71.2495096,42.1417442
Waltham,MA,"Waltham, MA",-71.2356113,42.3764852
Ware,MA,"Ware, MA",-72.2398566,42.2598457
Wareham,MA,"Wareham, MA",-70.71973419999999,41.7614511
Warwick,MA,"Warwick, MA",-72.33897429999999,42.6820293
Watertown,MA,"Watertown, MA",-71.1828321,42.3709299
Wayland,MA,"Wayland, MA",-71.3614484,42.3625953
Webster,MA,"Webster, MA",-71.88006279999999,42.05009099999999
Wellesley,MA,"Wellesley, MA",-71.29238769999999,42.296797
Wellfleet,MA,"Wellfleet, MA",-70.03097530000001,41.93054679999999
Wendell,MA,"Wendell, MA",-72.396722,42.5481852
Wenham,MA,"Wenham, MA",-70.8911612,42.604261
West,MA,"West, MA",-71.3824374,42.4072107
West Boylston,MA,"West Boylston, MA",-71.78562699999999,42.3667589
West Brookfield,MA,"West Brookfield, MA",-72.14116419999999,42.2353463
West Cambridge,MA,"West Cambridge, MA",-71.13593929999999,42.3774469
West Dennis,MA,"West Dennis, MA",-70.17279669999999,41.6645557
West Medway,MA,"West Medway, MA",-71.3967256,42.1417641
West Newbury,MA,"West Newbury, MA",-70.989778,42.8014795
West Roxbury,MA,"West Roxbury, MA",-71.1626756,42.2797554
West Scituate,MA,"West Scituate, MA",-70.7258633,42.195929
West Springfield,MA,"West Springfield, MA",-72.6203675,42.1070383
West Tisbury,MA,"West Tisbury, MA",-70.6744723,41.38122449999999
Westboro,MA,"Westboro, MA",-71.61612939999999,42.2695216
Westborough,MA,"Westborough, MA",-71.61612939999999,42.2695216
Westfield,MA,"Westfield, MA",-72.749538,42.1250929
Westford,MA,"Westford, MA",-71.4378411,42.5792583
Westminster,MA,"Westminster, MA",-71.91063079999999,42.5459227
Weston,MA,"Weston, MA",-71.3031132,42.3667625
Weymouth,MA,"Weymouth, MA",-70.94103559999999,42.2180724
Whately,MA,"Whately, MA",-72.6348118,42.4398101
Whitinsville,MA,"Whitinsville, MA",-71.6661783,42.1112075
Wilbraham,MA,"Wilbraham, MA",-72.431586,42.1237206
Williamstown,MA,"Williamstown, MA",-73.20368979999999,42.7120196
Wilmington,MA,"Wilmington, MA",-71.1724467,42.5481714
Winchendon,MA,"Winchendon, MA",-72.0439529,42.6871009
Winchester,MA,"Winchester, MA",-71.1369959,42.452303
Woburn,MA,"Woburn, MA",-71.1522765,42.4792618
Worcester,MA,"Worcester, MA",-71.8022934,42.2625932
Wrentham,MA,"Wrentham, MA",-71.3281114,42.0667652
Yarmouth,MA,"Yarmouth, MA",-70.2286681,41.7056291
All Hallows?,MD,"All Hallows?, MD",-76.5812207,38.9106343
Ann Arundel County,MD,"Ann Arundel County, MD",-76.5488232,38.9530109
Annapolis,MD,"Annapolis, MD",-76.4921829,38.9784453
baltimore,MD,"baltimore, MD",-76.6121893,39.2903848
Baltimore,MD,"Baltimore, MD",-76.6121893,39.2903848
Calvert Co.,MD,"Calvert Co., MD",-76.5025742,38.49495030000001
Calvert County,MD,"Calvert County, MD",-76.5025742,38.49495030000001
Cambridge,MD,"Cambridge, MD",-76.0788292,38.5631744
Carroll,MD,"Carroll, MD",-77.0564464,39.5423418
Carrollton,MD,"Carrollton, MD",-76.91692379999999,39.5570469
Charles County,MD,"Charles County, MD",-77.10249019999999,38.5221781
Charlotte Hall,MD,"Charlotte Hall, MD",-76.778021999999993,38.4809565
Chestertown,MD,"Chestertown, MD",-76.0690036,39.21886629999999
Chestertown?,MD,"Chestertown?, MD",-76.0690036,39.21886629999999
Church Creek,MD,"Church Creek, MD",-76.1521643,38.5020649
College Station,MD,"College Station, MD",-96.289794,30.581083
Cumberland,MD,"Cumberland, MD",-78.7625185,39.6528654
Dorchester,MD,"Dorchester, MD",-76.17837390000001,38.4152819
Dorchester County,MD,"Dorchester County, MD",-76.17837390000001,38.4152819
Durham?,MD,"Durham?, MD",-75.05239329999999,39.7783543
Easton,MD,"Easton, MD",-76.0763305,38.7742826
Ellicot City,MD,"Ellicot City, MD",-76.7983067,39.2673283
Ellicott City,MD,"Ellicott City, MD",-76.7983067,39.2673283
Ellicott Mills,MD,"Ellicott Mills, MD",-76.7983067,39.2673283
Ellicott's Mills,MD,"Ellicott's Mills, MD",-76.7983067,39.2673283
Emmetsburg,MD,"Emmetsburg, MD",-77.32693069999999,39.7045417
Emmettsburg,MD,"Emmettsburg, MD",-77.32693069999999,39.7045417
Frederick,MD,"Frederick, MD",-77.4105409,39.41426879999999
Hagerstown,MD,"Hagerstown, MD",-77.71999319999999,39.6417629
Herring Creek,MD,"Herring Creek, MD",-76.54134479999999,38.1862382
Ilchester,MD,"Ilchester, MD",-76.7640977,39.2507307
Kent County,MD,"Kent County, MD",-76.1319953,39.2713804
Lonacoming,MD,"Lonacoming, MD",-78.98030399999999,39.5659228
New Windsor,MD,"New Windsor, MD",-77.1080376,39.5420455
Oakland,MD,"Oakland, MD",-79.4067116,39.4078747
Pickamaxon,MD,"Pickamaxon, MD",NA,NA
Rockville,MD,"Rockville, MD",-77.1527578,39.0839973
Salisbury,MD,"Salisbury, MD",-75.5993692,38.3606736
Sandy Spring,MD,"Sandy Spring, MD",-77.0262286,39.1495278
Snow Hill?,MD,"Snow Hill?, MD",-75.39269589999999,38.1770634
Somerset,MD,"Somerset, MD",-77.0960893,38.9659438
Somerset Co.,MD,"Somerset Co., MD",-75.8533954,38.0862333
South River?,MD,"South River?, MD",-76.5352094,38.9357449
South Sassafres?,MD,"South Sassafres?, MD",-75.7738473,39.3752128
Stepney?,MD,"Stepney?, MD",-76.5608955,38.9282896
Talbot County,MD,"Talbot County, MD",-76.1319953,38.7803973
Westminster,MD,"Westminster, MD",-76.9958149,39.5753791
Woodstock,MD,"Woodstock, MD",-76.872796,39.328064
NA,MD,"NA, MD",-76.64127119999999,39.0457549
Acton (York County),ME,"Acton (York County), ME",-70.9277544,43.5233821
Alfred,ME,"Alfred, ME",-70.7161687,43.4764994
Allen's Mills,ME,"Allen's Mills, ME",-70.08117279999999,44.7161706
Andover,ME,"Andover, ME",-70.7511813,44.63561660000001
Atkinson,ME,"Atkinson, ME",-69.0910809,45.1868588
Auburn,ME,"Auburn, ME",-70.2311655,44.0978509
Augusta,ME,"Augusta, ME",-69.7794897,44.3106241
Bangor,ME,"Bangor, ME",-68.77781379999999,44.80118210000001
Bar Harbor,ME,"Bar Harbor, ME",-68.2039123,44.3876119
Bath,ME,"Bath, ME",-69.82060229999999,43.9106353
Belfast,ME,"Belfast, ME",-69.0064234,44.4259092
Bethel,ME,"Bethel, ME",-70.7898806,44.4044586
Biddeford,ME,"Biddeford, ME",-70.45338439999999,43.4925843
Biddleford,ME,"Biddleford, ME",-70.45338439999999,43.4925843
Blue Hill,ME,"Blue Hill, ME",-68.5866904,44.4139662
Bolster's Mills,ME,"Bolster's Mills, ME",-70.59728280000002,44.1156261
Boothbay,ME,"Boothbay, ME",-69.6337364,43.8762865
Brewer,ME,"Brewer, ME",-68.7614246,44.7967378
Bristol,ME,"Bristol, ME",-69.4954131,43.9248053
Brunswick,ME,"Brunswick, ME",-69.9669961,43.9140162
Bucksport,ME,"Bucksport, ME",-68.7701225,44.6289696
Buckstown,ME,"Buckstown, ME",NA,NA
Buxton,ME,"Buxton, ME",-70.5189422,43.6378583
Calais,ME,"Calais, ME",-67.27860380000001,45.1889633
Camden,ME,"Camden, ME",-69.0647838,44.2097928
Cape Elizabeth,ME,"Cape Elizabeth, ME",-70.2000467,43.563696
Castine,ME,"Castine, ME",-68.7989582,44.3888609
Cherryfield,ME,"Cherryfield, ME",-67.9258366,44.6072991
Chesterville,ME,"Chesterville, ME",-70.0861692,44.55117449999999
Corinna,ME,"Corinna, ME",-69.2617131,44.921174
Cornish,ME,"Cornish, ME",-70.8011731,43.80479769999999
Danforth,ME,"Danforth, ME",-67.86834499999999,45.6603404
Danville,ME,"Danville, ME",-70.2656097,44.02229639999999
Deering,ME,"Deering, ME",-70.2983825,43.6759147
Dexter,ME,"Dexter, ME",-69.2898156,45.02391799999999
Dirigo,ME,"Dirigo, ME",-70.4521048,44.5405302
Dover,ME,"Dover, ME",-69.22708209999999,45.1833421
Dresden,ME,"Dresden, ME",-69.7242215,44.1070945
East Machias,ME,"East Machias, ME",-67.3900603,44.7391789
East Wilton,ME,"East Wilton, ME",-70.19283899999999,44.6158945
Eastbrook,ME,"Eastbrook, ME",-68.26446179999999,44.6786857
Eastport,ME,"Eastport, ME",-66.98997849999999,44.9061906
Eliot,ME,"Eliot, ME",-70.8000544,43.1531427
Ellsworth,ME,"Ellsworth, ME",-68.4194641,44.5434095
Fairfield,ME,"Fairfield, ME",-69.59864689999999,44.5884052
Falmouth,ME,"Falmouth, ME",-70.2601759,43.7435343
Farmington,ME,"Farmington, ME",-70.1512169,44.67049979999999
Fort Preble,ME,"Fort Preble, ME",-70.2259813,43.6491177
Foxcroft,ME,"Foxcroft, ME",-69.22708209999999,45.1833421
Freeport,ME,"Freeport, ME",-70.1031201,43.8570065
Fryeburg,ME,"Fryeburg, ME",-70.9806357,44.0164329
Gardiner,ME,"Gardiner, ME",-69.77532219999999,44.2300698
Gardner,ME,"Gardner, ME",-69.77532219999999,44.2300698
Gorham,ME,"Gorham, ME",-70.44422519999999,43.67953139999999
Greathouse?,ME,"Greathouse?, ME",-77.24662210000001,17.9317723
Hallowell,ME,"Hallowell, ME",-69.7908786,44.2859022
Harrison,ME,"Harrison, ME",-70.6792289,44.1103479
Houlton,ME,"Houlton, ME",-67.8402316,46.1261806
Kennebunk,ME,"Kennebunk, ME",-70.54399,43.3845306
Kittery,ME,"Kittery, ME",-70.73613700000001,43.0881256
Kittery and York,ME,"Kittery and York, ME",-70.73613700000001,43.0881256
Lewiston,ME,"Lewiston, ME",-70.21477639999999,44.100351
Lewiston and Danville,ME,"Lewiston and Danville, ME",-70.25821839999999,44.0420735
Lewiston Falls,ME,"Lewiston Falls, ME",-70.2227211,44.0978181
Lewsiton,ME,"Lewsiton, ME",-70.21477639999999,44.100351
Lisbon,ME,"Lisbon, ME",-70.1043704,44.0316013
Livermore,ME,"Livermore, ME",-70.2081176,44.4078297
Machias,ME,"Machias, ME",-67.461376,44.71507889999999
New Gloucester,ME,"New Gloucester, ME",-70.2825536,43.962853
New Sharon,ME,"New Sharon, ME",-70.0154885,44.6393784
Newport,ME,"Newport, ME",-69.2444565,44.8557175
Norridgewock,ME,"Norridgewock, ME",-69.7905955,44.7130794
North Yarmouth,ME,"North Yarmouth, ME",-70.2388706,43.85735
Norway,ME,"Norway, ME",-70.5448096,44.2139566
Orno,ME,"Orno, ME",-68.6719411,44.8831125
Ossington,ME,"Ossington, ME",NA,NA
Paris,ME,"Paris, ME",-70.5006152,44.2597917
Parsonsfield,ME,"Parsonsfield, ME",-70.9286755,43.72702140000001
Pembroke,ME,"Pembroke, ME",-67.1619293,44.9536891
Portland,ME,"Portland, ME",-70.2553259,43.66147100000001
Prentiss,ME,"Prentiss, ME",-68.081681,45.4917309
Presque Isle,ME,"Presque Isle, ME",-68.0158615,46.68115299999999
Richmond,ME,"Richmond, ME",-69.80257879999999,44.0880682
Robbinston,ME,"Robbinston, ME",-67.10942829999999,45.0781324
Rockland,ME,"Rockland, ME",-69.1089293,44.1036914
Saccarappa,ME,"Saccarappa, ME",-70.3711617,43.6770252
Saco,ME,"Saco, ME",-70.4428286,43.5009176
Saco-Biddeford,ME,"Saco-Biddeford, ME",-70.4497928,43.4921364
Sanford,ME,"Sanford, ME",-70.7742804,43.4391627
Sangerville,ME,"Sangerville, ME",-69.357317,45.1645956
Searsport,ME,"Searsport, ME",-68.9241744,44.4583848
Sedgewick,ME,"Sedgewick, ME",-68.6155184,44.3040651
Sidney,ME,"Sidney, ME",-69.72262479999999,44.4530868
Skowhegan,ME,"Skowhegan, ME",-69.7193803,44.76503659999999
South Berwick,ME,"South Berwick, ME",-70.80950179999999,43.2345292
Thomaston,ME,"Thomaston, ME",-69.1816955,44.0789574
Togus,ME,"Togus, ME",-69.7030994,44.2745139
Turner,ME,"Turner, ME",-70.2561671,44.2564588
Union,ME,"Union, ME",-69.293927,44.2296917
Waldoboro,ME,"Waldoboro, ME",-69.37560169999999,44.0952725
"Waldoboro, Warren and Thomaston",ME,"Waldoboro, Warren and Thomaston, ME",-69.1603092,44.0647028
Warren,ME,"Warren, ME",-69.25314639999999,44.116967
Warren and Thomaston,ME,"Warren and Thomaston, ME",-69.10887699999999,44.1132883
Washburn,ME,"Washburn, ME",-68.1567015,46.7882172
Washington,ME,"Washington, ME",-69.3676576,44.2735583
Waterville,ME,"Waterville, ME",-69.6317121,44.5520105
Waverly,ME,"Waverly, ME",-69.38060349999999,44.7950639
Wayne,ME,"Wayne, ME",-70.06616489999999,44.3486793
Wells,ME,"Wells, ME",-70.5805209,43.3222329
Westbrook,ME,"Westbrook, ME",-70.3711617,43.6770252
Winterport,ME,"Winterport, ME",-68.8449792,44.6377864
Winthrop,ME,"Winthrop, ME",-69.9769721,44.3050332
Wiscasset,ME,"Wiscasset, ME",-69.665583,44.0028921
Yarmouth,ME,"Yarmouth, ME",-70.18672269999999,43.8006208
NA,ME,"NA, ME",-104.9923025,39.7413684
Ada,MI,"Ada, MI",-85.4954803,42.960727
Adams,MI,"Adams, MI",-84.52578299999999,41.9708795
Addison,MI,"Addison, MI",-84.3471684,41.986434
Adgansee,MI,"Adgansee, MI",-84.87763919999999,41.8651724
Adrian,MI,"Adrian, MI",-84.03716589999999,41.8975471
Adrian City,MI,"Adrian City, MI",-84.03716589999999,41.8975471
Advian,MI,"Advian, MI",-84.03716589999999,41.8975471
Akron,MI,"Akron, MI",-83.5141259,43.5680758
Alaiedon,MI,"Alaiedon, MI",-84.41726659999999,42.630465
Alamo,MI,"Alamo, MI",-85.7051116,42.3725805
Albion,MI,"Albion, MI",-84.7530304,42.243097
Albion College,MI,"Albion College, MI",-84.7451775,42.2440064
Algoma,MI,"Algoma, MI",-85.62292959999999,43.1492928
Allegan,MI,"Allegan, MI",-85.8553031,42.5291989
Allen,MI,"Allen, MI",-84.7677394,41.9569915
