locality,state,location
Sacramento,CA,"Sacramento, CA"
San Andreas,CA,"San Andreas, CA"
San Antonio,CA,"San Antonio, CA"
San Bernardino,CA,"San Bernardino, CA"
San Buenaventura,CA,"San Buenaventura, CA"
San Diego,CA,"San Diego, CA"
San Fernando,CA,"San Fernando, CA"
San Francisco,CA,"San Francisco, CA"
San Jose,CA,"San Jose, CA"
San Juan Bautista,CA,"San Juan Bautista, CA"
San Juan Capistrano,CA,"San Juan Capistrano, CA"
San Lorenzo,CA,"San Lorenzo, CA"
San Luis Obispo,CA,"San Luis Obispo, CA"
San Luis Rey,CA,"San Luis Rey, CA"
San Quentin,CA,"San Quentin, CA"
San Rafael,CA,"San Rafael, CA"
San Raphael,CA,"San Raphael, CA"
San Solano,CA,"San Solano, CA"
Santa Barbara,CA,"Santa Barbara, CA"
Santa Clara,CA,"Santa Clara, CA"
Santa Cruz,CA,"Santa Cruz, CA"
Santa Ine's,CA,"Santa Ine's, CA"
Santa Inez,CA,"Santa Inez, CA"
Santa Rosa,CA,"Santa Rosa, CA"
Sarcamento,CA,"Sarcamento, CA"
Sawyer's Bar,CA,"Sawyer's Bar, CA"
Scott River,CA,"Scott River, CA"
shasta,CA,"shasta, CA"
Shasta,CA,"Shasta, CA"
Soledad,CA,"Soledad, CA"
Sonoma,CA,"Sonoma, CA"
Sonora,CA,"Sonora, CA"
Spanish Flat,CA,"Spanish Flat, CA"
St. Louis,CA,"St. Louis, CA"
Stables' Ranch,CA,"Stables' Ranch, CA"
Stockton,CA,"Stockton, CA"
Suisun,CA,"Suisun, CA"
Tomales,CA,"Tomales, CA"
Ukiah,CA,"Ukiah, CA"
Uniontown,CA,"Uniontown, CA"
Vacaville,CA,"Vacaville, CA"
Vallejo,CA,"Vallejo, CA"
Visalia,CA,"Visalia, CA"
Volcano,CA,"Volcano, CA"
Watsonville,CA,"Watsonville, CA"
Weaverville,CA,"Weaverville, CA"
"Whiskey Diggings, Sierra County",CA,"Whiskey Diggings, Sierra County, CA"
Woodland,CA,"Woodland, CA"
Woodside,CA,"Woodside, CA"
Yreka,CA,"Yreka, CA"
NA,CA,"NA, CA"
Colorado Springs,CO,"Colorado Springs, CO"
Denver,CO,"Denver, CO"
Ft. Garland,CO,"Ft. Garland, CO"
Ft. Lyon,CO,"Ft. Lyon, CO"
Ft. Sedgwick,CO,"Ft. Sedgwick, CO"
Golden,CO,"Golden, CO"
Greeley,CO,"Greeley, CO"
Greeley (Union Colony),CO,"Greeley (Union Colony), CO"
Longmont,CO,"Longmont, CO"
Pueblo,CO,"Pueblo, CO"
NA,CO,"NA, CO"
Abington,CT,"Abington, CT"
Ansonia,CT,"Ansonia, CT"
Ashford,CT,"Ashford, CT"
Avon,CT,"Avon, CT"
Barkhamstead,CT,"Barkhamstead, CT"
Barkhamsted,CT,"Barkhamsted, CT"
Berlin,CT,"Berlin, CT"
Bethany,CT,"Bethany, CT"
Bethel,CT,"Bethel, CT"
Birmingham,CT,"Birmingham, CT"
Bloomfield,CT,"Bloomfield, CT"
Bolton,CT,"Bolton, CT"
Bozrah,CT,"Bozrah, CT"
Branford,CT,"Branford, CT"
Bridgeport,CT,"Bridgeport, CT"
Bristol,CT,"Bristol, CT"
Brookfield,CT,"Brookfield, CT"
Brooklyn,CT,"Brooklyn, CT"
Buckingham,CT,"Buckingham, CT"
Burlington,CT,"Burlington, CT"
Canaan,CT,"Canaan, CT"
Canterbury,CT,"Canterbury, CT"
Canton,CT,"Canton, CT"
Chatham,CT,"Chatham, CT"
Cheshire,CT,"Cheshire, CT"
Chesire,CT,"Chesire, CT"
Chester,CT,"Chester, CT"
Clinton,CT,"Clinton, CT"
Colchester,CT,"Colchester, CT"
Colebrook,CT,"Colebrook, CT"
Columbia,CT,"Columbia, CT"
Cornwall,CT,"Cornwall, CT"
Coventry,CT,"Coventry, CT"
Danbury,CT,"Danbury, CT"
Danielsonville,CT,"Danielsonville, CT"
Darien,CT,"Darien, CT"
Derby,CT,"Derby, CT"
Durham,CT,"Durham, CT"
East Guilford,CT,"East Guilford, CT"
East Haddam,CT,"East Haddam, CT"
East Hampton,CT,"East Hampton, CT"
East Hartford,CT,"East Hartford, CT"
East Haven,CT,"East Haven, CT"
East Lebanon,CT,"East Lebanon, CT"
East River,CT,"East River, CT"
East Windsor,CT,"East Windsor, CT"
Ellington,CT,"Ellington, CT"
Enfield,CT,"Enfield, CT"
Fairfield,CT,"Fairfield, CT"
Farmington,CT,"Farmington, CT"
Franklin,CT,"Franklin, CT"
Glastonbury,CT,"Glastonbury, CT"
Goshen,CT,"Goshen, CT"
Goshen and Nelson,CT,"Goshen and Nelson, CT"
Granby,CT,"Granby, CT"
Greens Farms,CT,"Greens Farms, CT"
Greenwich,CT,"Greenwich, CT"
Griswold,CT,"Griswold, CT"
Groton,CT,"Groton, CT"
Guildford,CT,"Guildford, CT"
Guilford,CT,"Guilford, CT"
"Guilford, Saybrook, Killingworth, and Lyme",CT,"Guilford, Saybrook, Killingworth, and Lyme, CT"
Haddam,CT,"Haddam, CT"
Hadlyme,CT,"Hadlyme, CT"
Hamden,CT,"Hamden, CT"
Hampton,CT,"Hampton, CT"
hartford,CT,"hartford, CT"
Hartford,CT,"Hartford, CT"
Harwinton,CT,"Harwinton, CT"
Hebron,CT,"Hebron, CT"
Kensington,CT,"Kensington, CT"
Kent,CT,"Kent, CT"
Killingly,CT,"Killingly, CT"
Killingworth,CT,"Killingworth, CT"
Lakeville,CT,"Lakeville, CT"
Lebanon,CT,"Lebanon, CT"
Ledyard,CT,"Ledyard, CT"
Lisbon,CT,"Lisbon, CT"
Litchfield,CT,"Litchfield, CT"
Lyme,CT,"Lyme, CT"
Madison,CT,"Madison, CT"
Mancheser,CT,"Mancheser, CT"
Mansfield,CT,"Mansfield, CT"
Meriden,CT,"Meriden, CT"
Middle Haddam,CT,"Middle Haddam, CT"
Middlebury,CT,"Middlebury, CT"
Middlefield,CT,"Middlefield, CT"
Middletown,CT,"Middletown, CT"
Milford,CT,"Milford, CT"
Montville,CT,"Montville, CT"
Moodus,CT,"Moodus, CT"
Mount Pleasant,CT,"Mount Pleasant, CT"
Naugatuck,CT,"Naugatuck, CT"
New Britain,CT,"New Britain, CT"
New Cambridge,CT,"New Cambridge, CT"
New Fairfield,CT,"New Fairfield, CT"
New Hartford,CT,"New Hartford, CT"
New Haven,CT,"New Haven, CT"
New London,CT,"New London, CT"
New Milford,CT,"New Milford, CT"
New Preston,CT,"New Preston, CT"
New Stratford,CT,"New Stratford, CT"
Newfield,CT,"Newfield, CT"
Newington,CT,"Newington, CT"
Newtown,CT,"Newtown, CT"
Norfolk,CT,"Norfolk, CT"
North Coventry,CT,"North Coventry, CT"
North Guilford,CT,"North Guilford, CT"
North Haven,CT,"North Haven, CT"
North Killingworth,CT,"North Killingworth, CT"
North Stonington,CT,"North Stonington, CT"
Northfield,CT,"Northfield, CT"
Northford,CT,"Northford, CT"
Norwalk,CT,"Norwalk, CT"
Norwich,CT,"Norwich, CT"
Oxford,CT,"Oxford, CT"
Pawcatuck,CT,"Pawcatuck, CT"
Plainfield,CT,"Plainfield, CT"
Plainville,CT,"Plainville, CT"
Plantsville,CT,"Plantsville, CT"
Plymouth,CT,"Plymouth, CT"
Pomfret,CT,"Pomfret, CT"
Poquetanock,CT,"Poquetanock, CT"
Putnam,CT,"Putnam, CT"
Reading,CT,"Reading, CT"
Ridgefield,CT,"Ridgefield, CT"
Ripon,CT,"Ripon, CT"
Rocky Hill,CT,"Rocky Hill, CT"
Roxbury,CT,"Roxbury, CT"
Salisbury,CT,"Salisbury, CT"
Saybrook,CT,"Saybrook, CT"
Seymour,CT,"Seymour, CT"
Sharon,CT,"Sharon, CT"
Simsbury,CT,"Simsbury, CT"
Somers,CT,"Somers, CT"
South Conventry,CT,"South Conventry, CT"
South Manchester,CT,"South Manchester, CT"
Southbury,CT,"Southbury, CT"
Southington,CT,"Southington, CT"
Stafford,CT,"Stafford, CT"
Stamford,CT,"Stamford, CT"
Sterling,CT,"Sterling, CT"
Stonington,CT,"Stonington, CT"
Stratford,CT,"Stratford, CT"
Suffield,CT,"Suffield, CT"
Terryville,CT,"Terryville, CT"
Thomaston,CT,"Thomaston, CT"
Thompson,CT,"Thompson, CT"
Tolland,CT,"Tolland, CT"
Topsham,CT,"Topsham, CT"
Torrington,CT,"Torrington, CT"
Voluntown,CT,"Voluntown, CT"
Wallingford,CT,"Wallingford, CT"
Warren,CT,"Warren, CT"
Washington Point,CT,"Washington Point, CT"
Waterbury,CT,"Waterbury, CT"
Watertown,CT,"Watertown, CT"
Wauregan,CT,"Wauregan, CT"
West Greenwich,CT,"West Greenwich, CT"
West Hartford,CT,"West Hartford, CT"
West Haven,CT,"West Haven, CT"
West Killingly,CT,"West Killingly, CT"
West Meridan,CT,"West Meridan, CT"
West Suffield,CT,"West Suffield, CT"
West Winsted,CT,"West Winsted, CT"
Weston,CT,"Weston, CT"
Wethersfield,CT,"Wethersfield, CT"
Williamantic,CT,"Williamantic, CT"
Willington,CT,"Willington, CT"
Wilton,CT,"Wilton, CT"
Winchester,CT,"Winchester, CT"
Windham,CT,"Windham, CT"
Windsor,CT,"Windsor, CT"
Windsor Locks,CT,"Windsor Locks, CT"
Wolcott,CT,"Wolcott, CT"
Wolcottville,CT,"Wolcottville, CT"
Woodbridge,CT,"Woodbridge, CT"
Woodbury,CT,"Woodbury, CT"
Woodstock,CT,"Woodstock, CT"
Woodstock and Killingly,CT,"Woodstock and Killingly, CT"
D.C.,DC,"D.C., DC"
Georgetown,DC,"Georgetown, DC"
washington,DC,"washington, DC"
Washington,DC,"Washington, DC"
Washington D.C.,DC,"Washington D.C., DC"
Dover,DE,"Dover, DE"
Fort Delaware,DE,"Fort Delaware, DE"
Georgetown,DE,"Georgetown, DE"
Lewes,DE,"Lewes, DE"
Lincoln,DE,"Lincoln, DE"
Milton,DE,"Milton, DE"
New Castle,DE,"New Castle, DE"
Newark,DE,"Newark, DE"
Odessa,DE,"Odessa, DE"
Smyrna,DE,"Smyrna, DE"
Wilmington,DE,"Wilmington, DE"
Chattahoochee,FL,"Chattahoochee, FL"
Grand Key,FL,"Grand Key, FL"
Jacksonville,FL,"Jacksonville, FL"
Key West,FL,"Key West, FL"
Pensacola,FL,"Pensacola, FL"
St. Augustine,FL,"St. Augustine, FL"
Tallahasee,FL,"Tallahasee, FL"
Worthington,FL,"Worthington, FL"
Athens,GA,"Athens, GA"
Atlanta,GA,"Atlanta, GA"
Augusta,GA,"Augusta, GA"
Bowden,GA,"Bowden, GA"
Bowdon,GA,"Bowdon, GA"
Cassville,GA,"Cassville, GA"
Cave Spring,GA,"Cave Spring, GA"
Cedartown,GA,"Cedartown, GA"
Columbus,GA,"Columbus, GA"
Dahlonega,GA,"Dahlonega, GA"
Fort Pulaski,GA,"Fort Pulaski, GA"
Greene County,GA,"Greene County, GA"
Greenville,GA,"Greenville, GA"
Griffin,GA,"Griffin, GA"
Holton,GA,"Holton, GA"
La Grange,GA,"La Grange, GA"
Macon,GA,"Macon, GA"
Medway,GA,"Medway, GA"
Milledgeville,GA,"Milledgeville, GA"
Oxford,GA,"Oxford, GA"
Pope's Ferry,GA,"Pope's Ferry, GA"
Savanah,GA,"Savanah, GA"
Savannah,GA,"Savannah, GA"
West Point,GA,"West Point, GA"
Honolulu,HI,"Honolulu, HI"
Lahaina,HI,"Lahaina, HI"
Oahu,HI,"Oahu, HI"
Albia,IA,"Albia, IA"
Almoral,IA,"Almoral, IA"
Ames,IA,"Ames, IA"
Amitx,IA,"Amitx, IA"
Anamosa,IA,"Anamosa, IA"
Bellevue,IA,"Bellevue, IA"
Burlington,IA,"Burlington, IA"
Cedar Falls,IA,"Cedar Falls, IA"
Cedar Rapids,IA,"Cedar Rapids, IA"
Chariton,IA,"Chariton, IA"
Clarinda,IA,"Clarinda, IA"
Clarksville,IA,"Clarksville, IA"
Clinton,IA,"Clinton, IA"
Davenport,IA,"Davenport, IA"
Decorah,IA,"Decorah, IA"
Decorsh,IA,"Decorsh, IA"
Denver,IA,"Denver, IA"
Des Moines,IA,"Des Moines, IA"
Dubuque,IA,"Dubuque, IA"
Durant,IA,"Durant, IA"
Eldora,IA,"Eldora, IA"
Fairfield,IA,"Fairfield, IA"
Fayette,IA,"Fayette, IA"
Ft. Dodge,IA,"Ft. Dodge, IA"
Ft. Madison,IA,"Ft. Madison, IA"
Grinnell,IA,"Grinnell, IA"
Hamlin,IA,"Hamlin, IA"
Humboldt,IA,"Humboldt, IA"
Ida,IA,"Ida, IA"
Independence,IA,"Independence, IA"
Indianola,IA,"Indianola, IA"
Iowa City,IA,"Iowa City, IA"
Keokuk,IA,"Keokuk, IA"
Keosanqua,IA,"Keosanqua, IA"
Keosaugua,IA,"Keosaugua, IA"
Little Rock,IA,"Little Rock, IA"
Logan,IA,"Logan, IA"
Lott's Creek,IA,"Lott's Creek, IA"
Low Moor,IA,"Low Moor, IA"
Lyons,IA,"Lyons, IA"
Manchester,IA,"Manchester, IA"
Maquoketa,IA,"Maquoketa, IA"
Marchalltown,IA,"Marchalltown, IA"
Marshalltown,IA,"Marshalltown, IA"
Mason City,IA,"Mason City, IA"
McGregor,IA,"McGregor, IA"
McGuire,IA,"McGuire, IA"
Miescatine,IA,"Miescatine, IA"
Monticello,IA,"Monticello, IA"
Mt. Pleasant,IA,"Mt. Pleasant, IA"
Mt. Vernon,IA,"Mt. Vernon, IA"
Nevada,IA,"Nevada, IA"
Onawa,IA,"Onawa, IA"
Osage,IA,"Osage, IA"
Oskaloosa,IA,"Oskaloosa, IA"
Oswego,IA,"Oswego, IA"
Ottumwa,IA,"Ottumwa, IA"
Pella,IA,"Pella, IA"
Salem,IA,"Salem, IA"
Sandyville,IA,"Sandyville, IA"
Sigourney,IA,"Sigourney, IA"
Sioux City,IA,"Sioux City, IA"
St. Sebald,IA,"St. Sebald, IA"
Tabor,IA,"Tabor, IA"
Trenton,IA,"Trenton, IA"
Vinton,IA,"Vinton, IA"
Waterloo,IA,"Waterloo, IA"
Waukon,IA,"Waukon, IA"
Waverly,IA,"Waverly, IA"
West Point,IA,"West Point, IA"
Western college,IA,"Western college, IA"
Western College,IA,"Western College, IA"
Western College?,IA,"Western College?, IA"
Wilton,IA,"Wilton, IA"
Boise City,ID,"Boise City, ID"
Ft. Boise,ID,"Ft. Boise, ID"
Ft. Hall,ID,"Ft. Hall, ID"
Ft. Lapwai,ID,"Ft. Lapwai, ID"
Abingdon,IL,"Abingdon, IL"
Albany,IL,"Albany, IL"
Albion,IL,"Albion, IL"
Alton,IL,"Alton, IL"
Amboy,IL,"Amboy, IL"
Anna,IL,"Anna, IL"
Asbley,IL,"Asbley, IL"
Atlanta,IL,"Atlanta, IL"
Atlas,IL,"Atlas, IL"
Aurora,IL,"Aurora, IL"
Batavia,IL,"Batavia, IL"
Belleville,IL,"Belleville, IL"
Belvidere,IL,"Belvidere, IL"
Bement,IL,"Bement, IL"
Bloomington,IL,"Bloomington, IL"
Bourbonnais Grove,IL,"Bourbonnais Grove, IL"
Buda,IL,"Buda, IL"
Bunker Hill,IL,"Bunker Hill, IL"
Bushnell,IL,"Bushnell, IL"
Cairo,IL,"Cairo, IL"
Cambridge,IL,"Cambridge, IL"
Canton,IL,"Canton, IL"
Carbandale,IL,"Carbandale, IL"
Carbondale,IL,"Carbondale, IL"
Carlinville,IL,"Carlinville, IL"
Carlyle,IL,"Carlyle, IL"
Carpentersville,IL,"Carpentersville, IL"
Carrollton,IL,"Carrollton, IL"
Carthage,IL,"Carthage, IL"
Cedarville,IL,"Cedarville, IL"
Centralia,IL,"Centralia, IL"
Champaign,IL,"Champaign, IL"
chicago,IL,"chicago, IL"
Chicago,IL,"Chicago, IL"
Clay City,IL,"Clay City, IL"
Columbia,IL,"Columbia, IL"
Danvers,IL,"Danvers, IL"
Danville,IL,"Danville, IL"
Decatur,IL,"Decatur, IL"
Dixon,IL,"Dixon, IL"
Don Quoin,IL,"Don Quoin, IL"
Dwight,IL,"Dwight, IL"
E. St. Louis,IL,"E. St. Louis, IL"
Earlville,IL,"Earlville, IL"
East Cambridge,IL,"East Cambridge, IL"
East St. Louis,IL,"East St. Louis, IL"
Eden,IL,"Eden, IL"
Edgington,IL,"Edgington, IL"
Edwardsville,IL,"Edwardsville, IL"
El Paso,IL,"El Paso, IL"
Elgin,IL,"Elgin, IL"
Elmhurst,IL,"Elmhurst, IL"
Elmira,IL,"Elmira, IL"
Elmore,IL,"Elmore, IL"
Elmwood,IL,"Elmwood, IL"
Erving,IL,"Erving, IL"
Ethel,IL,"Ethel, IL"
Eureka,IL,"Eureka, IL"
Evanston,IL,"Evanston, IL"
Fayetteville,IL,"Fayetteville, IL"
Flora,IL,"Flora, IL"
Freeburg,IL,"Freeburg, IL"
Freedom,IL,"Freedom, IL"
Freeport,IL,"Freeport, IL"
Friendsville,IL,"Friendsville, IL"
Fulton,IL,"Fulton, IL"
Galena,IL,"Galena, IL"
Galesburg,IL,"Galesburg, IL"
Galessburg,IL,"Galessburg, IL"
Genesco,IL,"Genesco, IL"
Genesee,IL,"Genesee, IL"
Geneseo,IL,"Geneseo, IL"
Geneva,IL,"Geneva, IL"
Gilman,IL,"Gilman, IL"
Greenville,IL,"Greenville, IL"
Griggsville,IL,"Griggsville, IL"
Havana,IL,"Havana, IL"
Highlang,IL,"Highlang, IL"
Hillsboro,IL,"Hillsboro, IL"
Hoopeston,IL,"Hoopeston, IL"
Hyde Park,IL,"Hyde Park, IL"
Irvington,IL,"Irvington, IL"
Jacksonville,IL,"Jacksonville, IL"
Joliet,IL,"Joliet, IL"
Joliet?,IL,"Joliet?, IL"
Kankakee,IL,"Kankakee, IL"
Kaskaskia,IL,"Kaskaskia, IL"
Kewanee,IL,"Kewanee, IL"
Knoxville,IL,"Knoxville, IL"
La Salle,IL,"La Salle, IL"
LaSalle,IL,"LaSalle, IL"
Lawrence County,IL,"Lawrence County, IL"
Lebanon,IL,"Lebanon, IL"
Leroy,IL,"Leroy, IL"
Lewistown?,IL,"Lewistown?, IL"
Lincoln,IL,"Lincoln, IL"
Lincoln?,IL,"Lincoln?, IL"
Loda,IL,"Loda, IL"
Maroa,IL,"Maroa, IL"
Mascoutah,IL,"Mascoutah, IL"
Maywood,IL,"Maywood, IL"
McLeansboro,IL,"McLeansboro, IL"
Mendota,IL,"Mendota, IL"
Metamora,IL,"Metamora, IL"
Metropolis,IL,"Metropolis, IL"
Moline,IL,"Moline, IL"
Monmouth,IL,"Monmouth, IL"
Monticello,IL,"Monticello, IL"
Morgan Park,IL,"Morgan Park, IL"
Morris,IL,"Morris, IL"
Mount Carroll,IL,"Mount Carroll, IL"
Mount Morris,IL,"Mount Morris, IL"
Mt. Carmel,IL,"Mt. Carmel, IL"
Mt. Vernon,IL,"Mt. Vernon, IL"
Nashville,IL,"Nashville, IL"
Nauvoo,IL,"Nauvoo, IL"
Neponset,IL,"Neponset, IL"
New Athens,IL,"New Athens, IL"
Normal,IL,"Normal, IL"
Olney,IL,"Olney, IL"
Onarga,IL,"Onarga, IL"
Onargo,IL,"Onargo, IL"
Oquawka,IL,"Oquawka, IL"
Origon,IL,"Origon, IL"
Ottawa,IL,"Ottawa, IL"
Ouimay?,IL,"Ouimay?, IL"
Paddock's Grove,IL,"Paddock's Grove, IL"
Pana,IL,"Pana, IL"
Paxton,IL,"Paxton, IL"
Pekin,IL,"Pekin, IL"
Pekin?,IL,"Pekin?, IL"
Peoria,IL,"Peoria, IL"
Peru,IL,"Peru, IL"
Petersburg,IL,"Petersburg, IL"
Pittsfield,IL,"Pittsfield, IL"
Plainfield / Napierville,IL,"Plainfield / Napierville, IL"
Polo,IL,"Polo, IL"
Pontiac,IL,"Pontiac, IL"
Quincy,IL,"Quincy, IL"
Randolph County,IL,"Randolph County, IL"
Rantoul,IL,"Rantoul, IL"
Renault,IL,"Renault, IL"
Ridge Farm,IL,"Ridge Farm, IL"
Robin's Nest,IL,"Robin's Nest, IL"
Rock Island,IL,"Rock Island, IL"
Rockford,IL,"Rockford, IL"
Roseville,IL,"Roseville, IL"
Rushville,IL,"Rushville, IL"
Salem,IL,"Salem, IL"
Salena,IL,"Salena, IL"
Salina,IL,"Salina, IL"
Sandwich,IL,"Sandwich, IL"
Seales Mound?,IL,"Seales Mound?, IL"
Shawneetown,IL,"Shawneetown, IL"
Smithton,IL,"Smithton, IL"
Sparta,IL,"Sparta, IL"
Spring Bay,IL,"Spring Bay, IL"
Springfield,IL,"Springfield, IL"
St. Anne,IL,"St. Anne, IL"
St. Charles,IL,"St. Charles, IL"
Sterling,IL,"Sterling, IL"
Streator,IL,"Streator, IL"
Sycamore,IL,"Sycamore, IL"
Teutapolis,IL,"Teutapolis, IL"
Tiskilwa,IL,"Tiskilwa, IL"
Tuscola,IL,"Tuscola, IL"
Upper Alton,IL,"Upper Alton, IL"
Urbana,IL,"Urbana, IL"
Vila Ridge,IL,"Vila Ridge, IL"
Villa Ridge,IL,"Villa Ridge, IL"
Virginia,IL,"Virginia, IL"
Warsaw,IL,"Warsaw, IL"
Washington,IL,"Washington, IL"
Waterloo,IL,"Waterloo, IL"
Watseka,IL,"Watseka, IL"
Waukegan,IL,"Waukegan, IL"
Westfield,IL,"Westfield, IL"
Wheaton,IL,"Wheaton, IL"
Woodstock,IL,"Woodstock, IL"
Yorkville,IL,"Yorkville, IL"
NA,IL,"NA, IL"
Abilene,KS,"Abilene, KS"
Atchison,KS,"Atchison, KS"
Balwin City,KS,"Balwin City, KS"
Blue Rapids,KS,"Blue Rapids, KS"
Burlingame,KS,"Burlingame, KS"
Burlington,KS,"Burlington, KS"
Cawker City,KS,"Cawker City, KS"
Chetopa City,KS,"Chetopa City, KS"
Coal Creek,KS,"Coal Creek, KS"
Emporia,KS,"Emporia, KS"
Eudora,KS,"Eudora, KS"
Fort Riley,KS,"Fort Riley, KS"
Fort Wallace,KS,"Fort Wallace, KS"
Ft. Dodge,KS,"Ft. Dodge, KS"
Ft. Harken,KS,"Ft. Harken, KS"
Ft. Hays,KS,"Ft. Hays, KS"
Ft. Leavenworth,KS,"Ft. Leavenworth, KS"
Gardner,KS,"Gardner, KS"
Girard,KS,"Girard, KS"
Highland,KS,"Highland, KS"
Junction City,KS,"Junction City, KS"
Keavenworth,KS,"Keavenworth, KS"
Lansing,KS,"Lansing, KS"
Lawrence,KS,"Lawrence, KS"
Leavenworth,KS,"Leavenworth, KS"
Manhattan,KS,"Manhattan, KS"
Marysville,KS,"Marysville, KS"
Olathe,KS,"Olathe, KS"
Ottawa,KS,"Ottawa, KS"
Paola,KS,"Paola, KS"
Peabody Twp.,KS,"Peabody Twp., KS"
Seneca,KS,"Seneca, KS"
St. Mary's,KS,"St. Mary's, KS"
Topeka,KS,"Topeka, KS"
Vimland,KS,"Vimland, KS"
Wathena,KS,"Wathena, KS"
Wyandotte,KS,"Wyandotte, KS"
NA,KS,"NA, KS"
Ashland,KY,"Ashland, KY"
Augusta,KY,"Augusta, KY"
Bardstown,KY,"Bardstown, KY"
Berea,KY,"Berea, KY"
Bowling Green,KY,"Bowling Green, KY"
Burlington,KY,"Burlington, KY"
Campbellsville,KY,"Campbellsville, KY"
Carrollton,KY,"Carrollton, KY"
Carrolton,KY,"Carrolton, KY"
Catlettsburg,KY,"Catlettsburg, KY"
Cecilian,KY,"Cecilian, KY"
Clinton,KY,"Clinton, KY"
Columbia,KY,"Columbia, KY"
Covington,KY,"Covington, KY"
Cynthiana,KY,"Cynthiana, KY"
Danville,KY,"Danville, KY"
Elizabethtown,KY,"Elizabethtown, KY"
Eminence,KY,"Eminence, KY"
Falmouth,KY,"Falmouth, KY"
Farmdale,KY,"Farmdale, KY"
Frankfort,KY,"Frankfort, KY"
Frankfort?,KY,"Frankfort?, KY"
Frankfurt,KY,"Frankfurt, KY"
